,char,length,count
335,"厶"" kvg:position=""bottom",258.15627644554394,4
336,"二"" kvg:part=""2"" kvg:position=""bottom"" kvg:radical=""tradit",300.0103251936217,4
337,"二"" kvg:part=""2"" kvg:radical=""tradit",293.84657317864526,4
338,"十"" kvg:part=""2",323.6448360961293,4
339,一,340.00000331301334,6
340,"二"" kvg:part=""2"" kvg:position=""bottom"" kvg:radical=""tradit",331.47445425465776,6
341,"二"" kvg:position=""bottom"" kvg:radical=""general",366.8485139674857,8
342,"二"" kvg:part=""2"" kvg:radical=""tradit",447.8328742621572,7
343,"二"" kvg:part=""2"" kvg:radical=""tradit",370.31777310200556,8
344,一,408.0281568100883,8
345,"亠"" kvg:radical=""general",98.8018060955177,2
346,"匸"" kvg:part=""2"" kvg:variant=""true"" kvg:original=""匚",207.14756725174692,3
347,丿,257.9223055230249,4
348,"父"" kvg:position=""bottom",271.09335890450217,6
349,"人"" kvg:position=""bottom",289.1785894434628,6
350,亅,286.3909056601638,6
351,亅,299.4958344400977,7
352,子,343.95637730051743,8
353,小,294.7268331751049,8
354,亅,350.72767895174934,9
355,"丿"" kvg:position=""left",375.58929689081845,9
356,小,349.62121923633174,9
357,一,434.2238076108182,10
358,"一"" kvg:position=""bottom",520.249510574438,13
359,"人"" kvg:radical=""general",138.63177459015603,2
360,"亻"" kvg:variant=""true"" kvg:original=""人"" kvg:radical=""tradit",120.88252172245713,2
361,"十"" kvg:position=""right",252.24292606980788,4
362,"二"" kvg:position=""right"" kvg:phon=""二",203.1338337165537,4
363,"力"" kvg:position=""right",311.50438680915255,4
364,"人"" kvg:position=""tarec"" kvg:radical=""tradit",263.7544523286031,4
365,"卜"" kvg:position=""right",224.06469870457065,4
366,乙,318.73658315696076,4
367,一,219.04260652663908,4
368,丨,231.95298842590654,4
369,丿,331.85448908069577,4
370,"人"" kvg:position=""right",224.2431294700543,4
371,"厶"" kvg:position=""right"" kvg:phon=""厶/弗",246.6293909042083,4
372,"子"" kvg:position=""right",301.1685755263823,5
373,"士"" kvg:position=""right"" kvg:phon=""士",300.9055720061426,5
374,"乙"" kvg:variant=""true",349.9540269602644,5
375,丿,309.15571828573684,5
376,"寸"" kvg:position=""right",272.89443139201234,5
377,"山"" kvg:position=""right"" kvg:phon=""山",284.07047045185936,5
378,"工"" kvg:position=""bottom",258.49128217475817,5
379,丶,317.38227297213376,5
380,"十"" kvg:position=""bottom",271.22005202893575,5
381,丶,263.12663241365203,5
382,マ,232.12329490593575,5
383,"人"" kvg:position=""right"" kvg:radical=""general",215.81386847224778,5
384,"乂"" kvg:part=""2",374.93700985573906,5
385,又,367.51469897050697,6
386,"卩"" kvg:position=""right",336.8209687555998,6
387,丨,318.2642793458938,6
388,"牛"" kvg:position=""right",324.95958836231324,6
389,丨,297.601127178864,6
390,士,303.46399624480046,6
391,卜,285.05308823161926,6
392,丿,328.7017870135834,6
393,丿,354.48482486102455,6
394,"二"" kvg:part=""2",359.2281395830809,6
395,"又"" kvg:position=""bottom",359.54530839799287,6
396,丶,316.4703230139856,6
397,丶,331.16639002865094,6
398,"木"" kvg:position=""right",337.99535215399584,6
399,厶,307.5757554147894,6
400,"十"" kvg:position=""bottom",342.3171146563464,6
401,"厶"" kvg:position=""bottom",302.67989071691596,6
402,"日"" kvg:position=""bottom",347.84184253603877,7
403,"口"" kvg:position=""bottom",339.43691382254383,7
404,"二"" kvg:part=""2",328.74584806552195,7
405,マ,326.1123406735679,7
406,丨,395.30203803385416,7
407,口,371.1501854875411,7
408,"人"" kvg:position=""right",282.89160343945474,7
409,"口"" kvg:position=""right",424.46949239664,7
410,"田"" kvg:position=""right",422.0925212727577,7
411,"一"" kvg:position=""bottom",358.5404745583595,7
412,亅,302.2013038134752,7
413,"亠"" kvg:position=""top",304.04697980898237,7
414,"一"" kvg:position=""bottom",358.71292795532423,7
415,"王"" kvg:original=""玉"" kvg:partial=""true"" kvg:position=""bottom",315.5599559223971,7
416,工,338.52787508749924,7
417,口,362.83628066628836,7
418,木,368.7720120579252,7
419,亅,332.0390371741538,7
420,"匕"" kvg:position=""bottom",333.7699693947496,7
421,小,317.7252100354511,7
422,大,367.9415678728309,7
423,丨,500.9291810902305,7
424,丿,291.63083548399334,7
425,口,349.79175216522225,7
426,"女"" kvg:position=""bottom",415.45309004069827,7
427,巾,466.46389647067895,8
428,䒑,353.08665765382597,8
